Main Category,Test Plan Name,TC Name,Test Level,Mode,Comments,Group Label
General_Management,SNMP,TC_DATA_SET_353,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Interfaces,Port,TC_DATA_SET_423,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
General_Management,Alarm,TC_DATA_SET_154,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,NFV,TC_DATA_SET_437,Regression2,auto,Unanalyzed - Number of records not as expected,Group10
General_Management,SNMP,TC_DATA_SET_95,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,SNMP,TC_DATA_SET_343,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Acceptance,Acceptance,TC_DATA_SET_251,Regression3,auto,Unanalyzed - Could not set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_456,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
General_Management,Alarm,TC_DATA_SET_156,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
General_Management,SNMP,TC_DATA_SET_385,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,LLDP,TC_DATA_SET_474,Regression2,auto,TWAMP-Sender Operational have status not as expected,Group08
Acceptance,Acceptance,TC_DATA_SET_238,Regression1,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
General_Management,SNMP,TC_DATA_SET_502,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
General_Management,SNMP,TC_DATA_SET_457,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
General_Management,Alarm,TC_DATA_SET_346,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,Port,TC_DATA_SET_425,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting passed,Group09
Interfaces,Port,TC_DATA_SET_307,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting passed,Group09
General_Management,SNMP,TC_DATA_SET_257,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,Alarm,TC_DATA_SET_390,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,Port,TC_DATA_SET_194,Regression2,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
General_Management,Alarm,TC_DATA_SET_398,Regression2,auto,Configuration of invalid interface reporting not failed,Group09
General_Management,SNMP,TC_DATA_SET_450,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Acceptance,Acceptance,TC_DATA_SET_242,Regression2,auto,"        Need investigationFailed because of a first level exception 
",Group02
Acceptance,Acceptance,TC_DATA_SET_126,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_143,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
Interfaces,Port,TC_DATA_SET_315,Regression3,auto,Unanalyzed - MEP status is not as expected,Group04
General_Management,Alarm,TC_DATA_SET_405,Regression2,auto,Issue-123: Offload flag enabled,Group01
Acceptance,Acceptance,TC_DATA_SET_127,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
Acceptance,Acceptance,TC_DATA_SET_134,Regression2,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Acceptance,Acceptance,TC_DATA_SET_372,Regression1,auto,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",Group06
Interfaces,NFV,TC_DATA_SET_441,Regression1,auto,Unanalyzed - Set ip on vlan is not successful,Group05
Interfaces,NFV,TC_DATA_SET_327,Regression2,auto,"Unexpected TWAMP-Sender Operational status was found
",Group08
General_Management,Alarm,TC_DATA_SET_56,Regression2,auto,The actual samples in CSV is 289,Group06
General_Management,Alarm,TC_DATA_SET_286,Regression1,auto,Issue-123: Offload flag enabled,Group01
General_Management,Alarm,TC_DATA_SET_164,Regression1,auto,Expected tel but information now is ssh,Group03
General_Management,SNMP,TC_DATA_SET_378,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
General_Management,Alarm,TC_DATA_SET_153,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is still zero,Group07
General_Management,Alarm,TC_DATA_SET_228,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Interfaces,LLDP,TC_DATA_SET_181,Regression3,auto,The samples in CSV file is not correct,Group06
Interfaces,LLDP,TC_DATA_SET_60,Regression2,auto,The samples in CSV file is incorrect. Actual 298,Group06
Interfaces,LLDP,TC_DATA_SET_415,Regression3,auto,The samples in CSV file is incorrect. Actual 298,Group06
General_Management,SNMP,TC_DATA_SET_332,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Interfaces,LLDP,TC_DATA_SET_294,Regression1,auto,The expected samples in CSV is 300. Actual 299,Group06
General_Management,SNMP,TC_DATA_SET_383,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
General_Management,SNMP,TC_DATA_SET_27,Regression2,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
Interfaces,LLDP,TC_DATA_SET_176,Regression1,auto,The expected samples in CSV is 300. Actual 299,Group06
Interfaces,Port,TC_DATA_SET_312,Regression2,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
Interfaces,Port,TC_DATA_SET_489,Regression3,auto,Unanalyzed - MEP status is not as expected,Group04
General_Management,Alarm,TC_DATA_SET_279,Regression2,auto,Actual: ssh - Expected tel. Information not as expected,Group03
Acceptance,Acceptance,TC_DATA_SET_370,Regression2,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Interfaces,Port,TC_DATA_SET_487,Regression3,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
Interfaces,Port,TC_DATA_SET_314,Regression1,auto,Unanalyzed - MEP status is not as expected,Group04
Acceptance,Acceptance,TC_DATA_SET_16,Regression2,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Acceptance,Acceptance,TC_DATA_SET_252,Regression2,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Interfaces,Port,TC_DATA_SET_311,Regression2,auto,Unanalyzed - Failed to set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_266,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
General_Management,Alarm,TC_DATA_SET_157,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
General_Management,SNMP,TC_DATA_SET_263,Regression2,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
Interfaces,LLDP,TC_DATA_SET_58,Regression1,auto,The expected samples in CSV is 300. Actual 299,Group06
Interfaces,Port,TC_DATA_SET_82,Regression1,auto,Unanalyzed - Number of records not as expected,Group10
Interfaces,LLDP,TC_DATA_SET_300,Regression2,auto,TWAMP-Sender Operational have status not as expected,Group08
Interfaces,Port,TC_DATA_SET_432,Regression1,auto,Unanalyzed - MEP status is not as expected,Group04
General_Management,Alarm,TC_DATA_SET_110,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
General_Management,SNMP,TC_DATA_SET_148,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,Port,TC_DATA_SET_486,Regression2,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
Acceptance,Acceptance,TC_DATA_SET_130,Regression2,auto,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Group04
Interfaces,LLDP,TC_DATA_SET_416,Regression1,auto,The samples in CSV file is not correct,Group06
Interfaces,NFV,TC_DATA_SET_446,Regression2,auto,WARNING: Issue-123: Offload flag is enabled. Expected: Disable,Group01
General_Management,SNMP,TC_DATA_SET_213,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
Interfaces,Port,TC_DATA_SET_427,Regression2,auto,Unanalyzed - Expected a minimum of 3 records,Group10
Interfaces,Port,TC_DATA_SET_185,Regression2,auto,Unanalyzed - Cannot set ip on vlan 2,Group05
Interfaces,Port,TC_DATA_SET_478,Regression2,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
General_Management,Alarm,TC_DATA_SET_230,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
General_Management,Alarm,TC_DATA_SET_284,Regression2,auto,Information should be tel instead of ssh,Group03
General_Management,Alarm,TC_DATA_SET_397,Regression2,auto,Actual: ssh - Expected tel. Information not as expected,Group03
General_Management,SNMP,TC_DATA_SET_141,Regression1,auto,Unanalyzed - MEP status is not Yes,Group04
General_Management,SNMP,TC_DATA_SET_26,Regression1,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
Acceptance,Acceptance,TC_DATA_SET_138,Regression2,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,SNMP,TC_DATA_SET_152,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still zero,Group07
General_Management,Alarm,TC_DATA_SET_469,Regression2,auto,Need investigation - Failed because of a first level exception,Group02
General_Management,SNMP,TC_DATA_SET_97,Regression1,auto,Unanalyzed - MEP status is not Yes,Group04
General_Management,SNMP,TC_DATA_SET_218,Regression1,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
Interfaces,Port,TC_DATA_SET_197,Regression3,auto,Unanalyzed - MEP status is not as expected,Group04
Interfaces,Port,TC_DATA_SET_69,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
Acceptance,Acceptance,TC_DATA_SET_247,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_258,Regression2,auto,Unanalyzed - MEP status is not Yes,Group04
Acceptance,Acceptance,TC_DATA_SET_15,Regression3,auto,Unanalyzed - Could not set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_225,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,Port,TC_DATA_SET_77,Regression3,auto,Unanalyzed - Invalid interface configuration reporting passed,Group09
General_Management,SNMP,TC_DATA_SET_29,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value = 0,Group07
Interfaces,NFV,TC_DATA_SET_321,Regression1,auto,"Unanalyzed - Number of records not as expected. Actual: 2, Expect: 3",Group10
General_Management,Alarm,TC_DATA_SET_407,Regression1,auto,Offload flag enabled: Issue-123,Group01
Interfaces,Port,TC_DATA_SET_498,Regression2,auto,Unanalyzed - Cannot set ip on vlan 2,Group05
General_Management,Alarm,TC_DATA_SET_161,Regression2,auto,Actual: ssh - Expected tel. Information not as expected,Group03
Interfaces,Port,TC_DATA_SET_485,Regression2,auto,Unanalyzed - Failed to set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_34,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still zero,Group07
Interfaces,Port,TC_DATA_SET_75,Regression2,auto,Unanalyzed - Failed to set ip on vlan,Group05
Interfaces,NFV,TC_DATA_SET_319,Regression2,auto,Unanalyzed - Number of records not as expected,Group10
General_Management,Alarm,TC_DATA_SET_291,Regression1,auto,Offload flag is enabled,Group01
General_Management,SNMP,TC_DATA_SET_24,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
Acceptance,Acceptance,TC_DATA_SET_133,Regression3,auto,Unanalyzed - Could not set ip on vlan,Group05
General_Management,SNMP,TC_DATA_SET_217,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
Acceptance,Acceptance,TC_DATA_SET_09,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_105,Regression3,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
General_Management,SNMP,TC_DATA_SET_354,Regression1,auto,Unanalyzed - MEP status is not Yes,Group04
Interfaces,LLDP,TC_DATA_SET_419,Regression1,auto,TWAMP-Sender Operational have status not as expected,Group08
Acceptance,Acceptance,TC_DATA_SET_360,Regression2,auto,"        Need investigationFailed because of a first level exception 
",Group02
General_Management,Alarm,TC_DATA_SET_401,Regression3,auto,Expected tel but information now is ssh,Group03
Interfaces,LLDP,TC_DATA_SET_475,Regression1,auto,TWAMP-Sender Operational have status not as expected,Group08
Interfaces,Port,TC_DATA_SET_499,Regression2,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
Interfaces,LLDP,TC_DATA_SET_293,Regression2,auto,The actual samples in CSV is 289,Group06
General_Management,Alarm,TC_DATA_SET_345,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is still zero,Group07
General_Management,SNMP,TC_DATA_SET_32,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,LLDP,TC_DATA_SET_63,Regression3,auto,The samples in CSV file is not correct,Group06
General_Management,Alarm,TC_DATA_SET_167,Regression1,auto,Information should be tel instead of ssh,Group03
Acceptance,Acceptance,TC_DATA_SET_243,Regression1,auto,"        Need investigationFailed because of a first level exception 
",Group02
Interfaces,Port,TC_DATA_SET_196,Regression1,auto,Unanalyzed - MEP status is not as expected,Group04
General_Management,Alarm,TC_DATA_SET_166,Regression2,auto,Information should be tel instead of ssh,Group03
General_Management,SNMP,TC_DATA_SET_344,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still zero,Group07
General_Management,SNMP,TC_DATA_SET_331,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
Interfaces,NFV,TC_DATA_SET_329,Regression3,auto,WARNING: Issue-123: Offload flag is enabled. Expected: Disable,Group01
General_Management,Alarm,TC_DATA_SET_37,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is zero,Group07
Acceptance,Acceptance,TC_DATA_SET_10,Regression1,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_352,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
Acceptance,Acceptance,TC_DATA_SET_08,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
Interfaces,NFV,TC_DATA_SET_328,Regression2,auto,WARNING: Issue-123: Offload flag is enabled. Expected: Disable,Group01
General_Management,Alarm,TC_DATA_SET_43,Regression2,auto,Actual: ssh - Expected tel. Information not as expected,Group03
General_Management,Alarm,TC_DATA_SET_280,Regression2,auto,Configuration of invalid interface reporting not failed,Group09
Interfaces,NFV,TC_DATA_SET_444,Regression1,auto,"Unexpected TWAMP-Sender Operational status was found
",Group08
Interfaces,LLDP,TC_DATA_SET_297,Regression3,auto,The samples in CSV file is incorrect. Actual 298,Group06
General_Management,Alarm,TC_DATA_SET_348,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
Interfaces,Port,TC_DATA_SET_479,Regression1,auto,Unanalyzed - Configuration of invalid interface reporting not failed,Group09
Interfaces,Port,TC_DATA_SET_426,Regression2,auto,Unanalyzed - Expected a minimum of 3 records,Group10
Interfaces,Port,TC_DATA_SET_492,Regression1,auto,Unanalyzed - Number of records not as expected,Group10
General_Management,Alarm,TC_DATA_SET_404,Regression1,auto,Issue-123: Offload flag enabled,Group01
General_Management,Alarm,TC_DATA_SET_287,Regression2,auto,Issue-123: Offload flag enabled,Group01
Acceptance,Acceptance,TC_DATA_SET_371,Regression1,auto,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Group03
Interfaces,Port,TC_DATA_SET_420,Regression1,auto,Unanalyzed - Cannot set ip on vlan 2,Group05
General_Management,Alarm,TC_DATA_SET_39,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
Interfaces,Port,TC_DATA_SET_317,Regression1,auto,Unanalyzed - MEP status is not linked,Group04
Acceptance,Acceptance,TC_DATA_SET_368,Regression1,auto,Unanalyzed - Could not set ip on vlan,Group05
Interfaces,LLDP,TC_DATA_SET_494,Regression3,auto,The samples in CSV file is not correct,Group06
General_Management,SNMP,TC_DATA_SET_262,Regression1,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
Acceptance,Acceptance,TC_DATA_SET_137,Regression2,auto,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",Group06
Interfaces,NFV,TC_DATA_SET_443,Regression2,auto,Unanalyzed - Unable to set ip on vlan 5,Group05
Acceptance,Acceptance,TC_DATA_SET_245,Regression2,auto,"        The failure was due to an initial exception - Need investigation 
",Group02
General_Management,SNMP,TC_DATA_SET_334,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
Interfaces,Port,TC_DATA_SET_310,Regression1,auto,Unanalyzed - Failed to set ip on vlan,Group05
Interfaces,LLDP,TC_DATA_SET_59,Regression2,auto,The expected samples in CSV is 300. Actual 299,Group06
Interfaces,Port,TC_DATA_SET_477,Regression2,auto,Unanalyzed - Cannot set ip on vlan 2,Group05
General_Management,SNMP,TC_DATA_SET_99,Regression2,auto,"        Unanalyzed - TWAMP Operational status is not as expected 
",Group08
General_Management,Alarm,TC_DATA_SET_466,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value should be grather than 0,Group07
Acceptance,Acceptance,TC_DATA_SET_373,Regression2,auto,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",Group06
Interfaces,NFV,TC_DATA_SET_212,Regression1,auto,WARNING: offload flag enabled: Issue-123,Group01
General_Management,SNMP,TC_DATA_SET_449,Regression1,auto,"        Unanalyzed - MEP status is No
",Group04
General_Management,SNMP,TC_DATA_SET_151,Regression1,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Interfaces,NFV,TC_DATA_SET_90,Regression1,auto,"Unexpected TWAMP-Sender Operational status was found
",Group08
General_Management,Alarm,TC_DATA_SET_276,Regression2,auto,Need investigation - Failed because of a first level exception,Group02
Interfaces,NFV,TC_DATA_SET_208,Regression1,auto,"Unexpected TWAMP-Sender Operational status was found
",Group08
General_Management,SNMP,TC_DATA_SET_215,Regression1,auto,Unanalyzed - MEP status is not Yes,Group04
Interfaces,LLDP,TC_DATA_SET_418,Regression2,auto,TWAMP-Sender Operational have status not as expected,Group08
General_Management,SNMP,TC_DATA_SET_106,Regression2,auto,Unanalyzed - Two-Way Frame Delay min value is still 0,Group07
Acceptance,Acceptance,TC_DATA_SET_255,Regression2,auto,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",Group06
Interfaces,NFV,TC_DATA_SET_324,Regression2,auto,Unanalyzed - Unable to set ip on vlan 5,Group05
Acceptance,Acceptance,TC_DATA_SET_366,Regression2,auto,"        Unanalyzed - Actual MEP status is No, Expected is Yes",Group04
General_Management,SNMP,TC_DATA_SET_381,Regression2,auto,"        Unanalyzed - TWAMP-Sender Operational status is not as expected 
",Group08
